diag_id,context,curr_audio_id,res_audio_id,curr_text,res_text,curr_emotion,curr_speed,curr_volume,res_emotion,res_speed,res_volume
book_269,"A : I just finished that new book we talked about, and I absolutely loved it! B : Oh, that's fantastic! Do you think I should give it a go? A : Yeah, it had some twists I didn't expect. It's definitely worth the read.",book_269/c_2.wav,book_269/r_2.wav,B: I'll add it to my list then.  ,"  Awesome, you're gonna have to tell me what you think when you're done!",friendly,normal,normal,cheerful,fast,normal
health_473,"A : I just got back from the gym and it was amazing! I feel so energized! B : Oh, that's great to hear! Exercise always gives a nice boost, doesn't it? A : Absolutely! I've been hitting my fitness goals one after another!",health_473/c_2.wav,health_473/r_2.wav,B: Maybe I should start working out with you.  ,  I'd be delighted to have you! Working out together could be fun.,friendly,normal,normal,friendly,normal,normal
music_540,"A : I just got tickets to see our favorite band live! B : No way! That's amazing, I can't wait to go with you, it's going to be epic! A : We should definitely get some merch to wear to the concert.",music_540/c_0.wav,music_540/r_0.wav,B: I'll look up some designs online tonight.  ,"  Great, take your time finding something you like, no rush.",neutral,slow,quiet,friendly,normal,normal
family_517,"A : Hey, guess what? My sister finally had her baby, and I'm an uncle now! B : That's amazing, congratulations! Boy or girl? A : It's a girl, and she's got the cutest little smile.",family_517/c_2.wav,family_517/r_2.wav,B: I can't wait to meet her and bring some gifts.  ,"  That's so sweet of you, we're looking forward to it!",friendly,normal,normal,cheerful,normal,normal
sport_149,"A : Hey, did you see the game last night? What a thrilling match! B : Yeah, I watched it, but I'm just bummed out our team lost in the last second. A : Ah, man, that was tough luck. But hey, they played well overall, didn't they?",sport_149/c_0.wav,sport_149/r_0.wav,B: The next game is coming up; I wonder if they can bounce back after such a loss.  ,"  Well, they've had a good season so far, so I guess we'll just have to wait and see.",neutral,normal,normal,unfriendly,normal,normal
family_110,"A : So how was the family reunion last weekend? B : It was a blast, we should totally do it again next year! A : Oh, I'd love that. It's been too long since we've all been together like that.",family_110/c_0.wav,family_110/r_0.wav,B: I'll start looking into venues and dates then.  ,  That's great! Let's find a place that's convenient for everyone.,neutral,normal,normal,cheerful,normal,normal
movie_120,"A : I can't believe how awesome that movie was, so many twists! B : I know, right? I didn't see that ending coming at all. A : It's just... when the hero's best friend betrayed him, that hit me hard.",movie_120/c_1.wav,movie_120/r_1.wav,"B: Yeah, that part was intense.  ","  I know, it's like the whole mood just took a nosedive there.",neutral,normal,normal,unfriendly,normal,normal
technology_594,"A : So I heard you got that new smartwatch, how do you like it? B : It's amazing! I can track my workouts, check messages, and even pay for coffee! A : That's super convenient, I've been thinking about getting one myself.",technology_594/c_0.wav,technology_594/r_0.wav,"B: It does have a steep learning curve, though.  ","  Yeah, I guess with all those features, it'll take some time to get used to it.",neutral,slow,normal,neutral,normal,normal
food_202,"A : Oh, I had the most amazing pasta last night at that new Italian place! B : Really? I've heard good things, but I haven't had the chance to visit yet. A : You've got to try it; their fettuccine Alfredo is to die for, and the tiramisu... out of this world!",food_202/c_2.wav,food_202/r_2.wav,B: I might go there this weekend then.  ,"  Absolutely, I hope you'll enjoy it as much as I did. If you want, I can even come with you!",friendly,slow,normal,friendly,normal,normal
school_219,"A : So, I heard you got the results today, how'd it go? B : It didn't turn out as I'd hoped, to be honest. A : Hey, don't beat yourself up. We can figure this out together.",school_219/c_1.wav,school_219/r_1.wav,B: I'm really not sure what my next step should be.  ,"  Okay, breathe. We've got plenty of options, let's just go over them one by one, alright?",unfriendly,normal,quiet,friendly,normal,normal
technology_362,"A : So you heard about the new phone release? It's packed with some groundbreaking features! B : Yeah, but my current phone just broke, it's like I have the worst luck with technology. A : Don't worry, why don't we go check out the new model together? You might find it's the perfect upgrade!",technology_362/c_2.wav,technology_362/r_2.wav,B: I'm not sure if investing in a new phone is worth it right now.  ,"  I get it, it's a big decision. But let's go take a look, no harm in exploring your options, right?",friendly,normal,quiet,friendly,slow,normal
movie_388,"A : I finally saw that new superhero movie last night, and it was absolutely incredible! B : Oh, really? That’s great! I’ve been looking forward to watching it myself. A : You should! The special effects and action sequences will blow your mind!",movie_388/c_2.wav,movie_388/r_2.wav,"B: I've heard the plot has some really unexpected twists, too.  ","  Absolutely, you'll be on the edge of your seat the whole time. It's well worth the watch!",friendly,normal,normal,friendly,normal,normal
entertainment_356,"A : I can't believe we finally got front row tickets to the concert! B : It's going to be an amazing night, we've been looking forward to this for months! A : Absolutely, this band is phenomenal live, it's going to be an epic experience!",entertainment_356/c_0.wav,entertainment_356/r_0.wav,B: So what time should we head over to the venue?  ,"  Let's aim to leave early, maybe around 5 PM, to avoid the traffic and grab a good spot.",neutral,slow,quiet,neutral,slow,normal
